chain	reqUuid	name	method	impl	test
FLAG: This may mean Tron's device is not receiving update...	5b6122fe-75f1-4a33-9b2f-63fcaeb4323f	FLAG: This may mean Tron's device is not receiving update...	updateBanner	79505a42	14304a0c
R-A2: Avatar upload must work without exposing key errors...	64328225-56c6-4a9c-ada0-0736322c08ee	R-A2: Avatar upload must work without exposing key errors...	avatarPersist	340036b4	79206be7
R-ED1: Markdown preview must render hierarchical lists (n...	c32974c5-dd10-45a7-b5dd-0d711b412fdc	R-ED1: Markdown preview must render hierarchical lists (n...	renderList	2c3612cc	d8e97d62
R-R1: All user rooms load from disk on connect and appear...	39a189d2-a59d-4e05-a460-28cd1816c23f	R-R1: All user rooms load from disk on connect and appear...	keylessUpload	d688f96c	cc892647
R-V1: Version update bar must appear on new version (PRIO...	67bde18f-76f9-43cd-abea-77c2ad7134f9	R-V1: Version update bar must appear on new version (PRIO...	rekeyFix	ae8312af	2530417e
R10.2 — In the opened profile sheet, the "Download vCard"...	99897fb4-6876-4047-9849-bbdaa840e110	R10.2 — In the opened profile sheet, the "Download vCard"...	onClickDelegate	4ffa86ed	f598287d
R10.3 — Tapping your OWN member item opens the read-only ...	b252bd78-7ee5-4ccf-8c74-818d1c6e6b4a	R10.3 — Tapping your OWN member item opens the read-only ...	onClickDelegate	4ffa86ed	f598287d
R10.4	251e2086-ebac-459f-b485-1a9fd0c13d63	Self-click opens profile sheet	onClickDelegate	4ffa86ed	f598287d
R12.1	bb37674f-dea7-474d-9631-5ca46ed2fe60	Editor back button navigates to parent	backButton	1e9916f1	1b5c8ddc
R15.2 — Object.verb model: Object=noun/class; verb=method...	05284ac5-131a-4e10-a2f7-7215e026e438	R15.2 — Object.verb model: Object=noun/class; verb=method...	parent	87c9007a	8edc3d29
R15.3 — Object.verb use-case diagrams (Object=noun, verb=...	38f80708-d191-47bd-ada4-a710c5f1e6ed	R15.3 — Object.verb use-case diagrams (Object=noun, verb=...	navigate	61734a59	f9fd3cc0
R15.5 — `ListOverview` with search over listed objects, e...	50a269b8-3f8e-453e-adb1-068ba24c2a2d	R15.5 — `ListOverview` with search over listed objects, e...	render	2b1e7d26	d9db192f
R15.6 — Task DetailViews + planning Overview that is ALWA...	2d2ca22b-a744-4245-87a5-6562edd3b017	R15.6 — Task DetailViews + planning Overview that is ALWA...	searchAndFilter	03086eb9	f301f0b9
R15.7 — Traceability BROWSER next to the file browser in ...	e412e965-bcdf-4d33-97df-65c00d14e9c2	R15.7 — Traceability BROWSER next to the file browser in ...	renderObject	4947f284	ae08d5ec
R16.2: DetailsViewContainer sticky to bottom	9186094e-0711-4859-b245-95cb514acfb2	R16.2: DetailsViewContainer sticky to bottom	setBackground	97f2cf22	59673fc0
R16.3: pageNav() sticky to top	bca276d9-8ff6-4234-a562-19e15e4ab8fb	R16.3: pageNav() sticky to top	stickyBottom	868331a4	d3513d2b
R16.4: Traceability chain data diagnosis + fix	b2237873-39b9-4154-9624-f809a9ca4983	R16.4: Traceability chain data diagnosis + fix	stickyTop	78beddd9	18092cd0
R16.5	41c49f04-ba9e-4317-b783-17cc0e63fd25	Detail drawer with swipe dismiss	open	6d75cd49	8edfcdd6
R16.6	2d522d41-b0cb-4c60-af0e-a2127b7a482b	Tree item generates speaky name	render	4a158f5c	1de42ff2
R16.7	92ed98b8-77dc-45c3-bd4a-73aaf6d94ee1	Tree item shows typed SVG icon	setIcon	2693d9cc	ba73abc6
R16.8	bd9543e0-76b1-476f-9692-cb87afde47cf	Tree item supports OS drag-and-drop	drag	d809105d	e6dd7649
R16.9	3ba633f3-4a88-4438-a003-9f3b75ec2f01	Tree item collapse/expand with children	collapse	0a028fb4	de5aa406
R17.2: IOR — universal reference handle	cb93f0db-0e42-4795-b41f-2e125120f259	R17.2: IOR — universal reference handle	symlinkSupport	64fa793d	1a2b80d0
R17.3: Class-based instances — typed classes with uniform...	3b6cce5a-581c-4325-88b2-b9d381c7f268	R17.3: Class-based instances — typed classes with uniform...	renderHtml(scenario): string	d0605b74	37f286b0
R17.4: Index by UUID prefix — scenario/index/<first-5>/<u...	ea1aeef4-3603-4fe3-9d5d-5b0800f3991e	R17.4: Index by UUID prefix — scenario/index/<first-5>/<u...	load(json): this	12571155	447754f1
R17.7: HTML view templates per class	f829246e-43bb-452c-ac0a-2066848a3c2e	R17.7: HTML view templates per class	symlinkJson(sprint	7bab1a71	80ff5280
R17.8: Views generated + live-updated from flat JSON	ddf01be4-6f25-4d32-a3f9-e3ac844a41db	R17.8: Views generated + live-updated from flat JSON	symlinkJson(sprint	7bab1a71	80ff5280
R17.9: planning.md is a generated Task-overview	aebefebb-83a7-4449-8788-ae54dfed8ca2	R17.9: planning.md is a generated Task-overview	symlinkJson(sprint	7bab1a71	80ff5280
R17.10: Sprint overview = list of sprint items	59b56c1d-c8a0-4d99-a06d-563269c7089e	R17.10: Sprint overview = list of sprint items	symlinkJson(sprint	7bab1a71	80ff5280
R17.11: File-browser ↔ traceability-browser navigation	0d45c204-ef9f-4b68-b1c8-74020bf3aa1d	R17.11: File-browser ↔ traceability-browser navigation	symlinkJson(sprint	7bab1a71	80ff5280
R17.12: All files are units, referenceable via IOR	80a7291e-be43-492d-882d-c5ac83a0e5e5	R17.12: All files are units, referenceable via IOR	navigate	c9c53769	9c52d370
R17.13: Method → task → requirement traceability	1ad6eba3-8b71-4476-838f-ad2af85fab0c	R17.13: Method → task → requirement traceability	load(json): this	12571155	447754f1
R17.17: Task status as state-machine methods	7bc72edb-8404-4675-835a-5b53dd4bddeb	R17.17: Task status as state-machine methods	renderHtml(scenario): string	d0605b74	37f286b0
R17.18: Traceability links → first-class scenario units	bebee55d-7d39-4f0c-b7de-d56e72d01363	R17.18: Traceability links → first-class scenario units	scenarioUnit	c5134d0a	1c3acdbd
R17.20: Requirement + UseCase units in scenario index	47a86209-e0bb-4142-a6ad-4fff94ff9921	R17.20: Requirement + UseCase units in scenario index	formalizeQuotes	15a31e7e	fc207340
R17.26	eca7cb3f-8346-4658-9e85-5c1e2453956b	The `## Chain` / linear sequence framing (req → uc → puml...	renderAllTypes	08fdddd4	d25cc4c2
